Date;horaire;NumeroSeance;BilletsEnfant;billetsAdultes;billetsEAA;PixTotal;places
08.04.2015;20:00;6;0;1;1;39;2
08.04.2015;20:00;6;0;1;1;39;2
08.05.2015;17:00;9;0;1;4;84;5
08.05.2015;23:00;7;0;1;1;39;2
08.05.2015;16:35;3;0;1;0;24;1
08.05.2015;20:30;5;0;6;0;144;6
09.05.2015;12:00;4;0;8;0;192;8
09.05.2015;15:00;7;0;1;29;459;30
10.05.2015;16:35;3;0;1;0;24;1
10.05.2015;16:35;3;7;1;0;94;8
10.05.2015;22:00;10;0;1;6;114;7
10.05.2015;16:35;3;1;0;7;115;8
10.05.2015;20:30;5;0;1;1;39;2
10.05.2015;16:35;3;0;1;1;24;2
10.05.2015;23:00;10;0;8;0;192;8
10.05.2015;22:00;10;0;0;3;45;3
10.05.2015;12:00;4;0;1;8;144;9
10.05.2015;12:00;4;0;1;6;114;7
10.05.2015;22:00;11;0;1;9;159;10
10.05.2015;15:00;3;0;1;9;159;10
10.05.2015;12:00;4;0;1;7;129;8
10.05.2015;23:59;4;0;8;0;192;8
10.05.2015;14:00;4;0;1;4;84;5
10.05.2015;12:00;4;0;1;5;99;6
10.05.2015;20:00;6;0;1;4;84;5
10.05.2015;16:35;3;0;1;3;69;4
10.05.2015;14:45;3;0;1;5;99;6
10.05.2015;20:30;5;0;1;5;99;6
11.05.2015;14:00;4;0;1;5;99;6
11.05.2015;14:00;4;0;1;5;99;6
11.05.2015;12:00;6;0;1;4;84;5
11.05.2015;10:00;6;0;1;4;84;5
11.05.2015;14:00;11;0;1;9;159;10
11.05.2015;20:30;5;0;1;14;234;15
11.05.2015;20:30;5;24;1;25;639;50
11.05.2015;14:00;4;100;1;47;1729;148
11.05.2015;14:00;4;0;76;14;2034;90
11.05.2015;12:00;4;0;1;5;99;6
11.05.2015;15:00;4;0;1;6;114;7
